"Rank","Institution","Total enrollment, fall 2017","Revenue from tuition and fees","Spending on instruction","Revenue from tuition and fees, minus spending on instruction","Tuition-and-fees revenue as percentage of all revenue"
"298.","Langston U.","2,219","$8,533,195","$15,335,437","-$6,802,242","13.1%"
"299.","Indiana U. Southeast","5,238","$27,007,307","$33,855,111","-$6,847,804","40.9%"
"300.","U. of the District of Columbia*","4,529","$34,424,134","$41,290,395","-$6,866,261","21.6%"
"301.","Eastern New Mexico U.","6,023","$17,027,025","$23,910,143","-$6,883,118","20.1%"
"302.","New Mexico Institute of Mining and Technology","2,009","$11,123,396","$18,057,488","-$6,934,092","7.3%"
"303.","Armstrong State U.","7,041","$36,069,921","$43,085,353","-$7,015,432","35.6%"
"304.","St. Mary's College of Maryland","1,598","$19,005,149","$26,021,202","-$7,016,053","25.4%"
"305.","Pittsburg State U.","6,907","$35,375,798","$42,494,300","-$7,118,502","31.7%"
"306.","Montana State U. at Billings","4,401","$19,471,570","$26,645,333","-$7,173,763","31.1%"
"307.","Dalton State College","5,164","$9,925,528","$17,176,739","-$7,251,211","22.0%"
"308.","Central State U.","1,784","$4,862,141","$12,125,553","-$7,263,412","8.3%"
"309.","U. of Alabama at Huntsville","9,101","$62,397,294","$69,698,533","-$7,301,239","27.5%"
"310.","Montclair State U.","21,013","$175,790,000","$183,137,000","-$7,347,000","41.1%"
"311.","Indiana U. at South Bend","5,385","$30,738,760","$38,135,090","-$7,396,330","38.6%"
"312.","U. of Minnesota at Morris","1,627","$8,980,112","$16,425,595","-$7,445,483","19.4%"
"313.","U. of Wisconsin at Stevens Point","8,222","$48,050,479","$55,602,246","-$7,551,767","28.1%"
"314.","Mississippi State U.","21,883","$161,788,625","$169,360,396","-$7,571,771","22.0%"
"315.","Worcester State U.","6,434","$36,646,529","$44,230,008","-$7,583,479","35.3%"
"316.","Rutgers U. at Camden","6,853","$78,692,000","$86,363,000","-$7,671,000","43.8%"
"317.","Western Nevada College","3,642","$4,667,000","$12,416,000","-$7,749,000","15.0%"
"318.","Dickinson State U.","1,425","$6,713,859","$14,512,779","-$7,798,920","25.1%"
"319.","Cascadia College","3,425","$7,707,726","$15,535,673","-$7,827,947","26.6%"
"320.","U. of Florida-Online","2,865","$1,073,000","$8,936,000","-$7,863,000","9.0%"
"321.","Pueblo Community College","5,991","$15,997,893","$23,918,866","-$7,920,973","35.2%"
"322.","Wayne State College","3,292","$12,764,481","$20,688,393","-$7,923,912","24.7%"
"323.","Navajo Technical U.","1,772","$0","$7,948,615","-$7,948,615","0.0%"
"324.","Whatcom Community College","4,411","$13,949,279","$21,934,734","-$7,985,455","28.0%"
"325.","Florida Gateway College","3,292","$3,129,999","$11,117,924","-$7,987,925","12.0%"
"326.","Cheyney U. of Pennsylvania","755","$2,326,159","$10,469,763","-$8,143,604","7.3%"
"327.","Lincoln U. (Mo.)","2,619","$6,765,232","$15,012,538","-$8,247,306","12.0%"
"328.","Peninsula College","2,094","$4,661,381","$12,993,750","-$8,332,369","10.3%"
"329.","William Paterson U. of New Jersey","10,252","$91,954,826","$100,295,640","-$8,340,814","42.8%"
"330.","U. of North Carolina School of the Arts","1,014","$15,052,285","$23,412,980","-$8,360,695","21.8%"
"331.","Delta State U.","3,785","$17,624,390","$26,154,405","-$8,530,015","25.1%"
"332.","Wenatchee Valley College","3,556","$5,639,009","$14,350,564","-$8,711,555","13.7%"
"333.","Centralia College","3,122","$3,835,418","$12,610,703","-$8,775,285","6.8%"
"334.","Olympic College","6,476","$16,243,432","$25,051,332","-$8,807,900","17.4%"
"335.","Tacoma Community College","6,496","$22,838,842","$31,665,250","-$8,826,408","29.7%"
"336.","U. of Illinois at Springfield","4,956","$39,024,340","$47,907,682","-$8,883,342","31.0%"
"337.","Mansfield U. of Pennsylvania","1,882","$15,265,383","$24,152,472","-$8,887,089","27.2%"
"338.","Dine College","1,465","$303,368","$9,242,146","-$8,938,778","0.8%"
"339.","Massachusetts College of Liberal Arts","1,588","$9,673,008","$18,769,368","-$9,096,360","19.2%"
"340.","St. Johns River State College","7,249","$8,940,485","$18,155,439","-$9,214,954","17.0%"
"341.","Great Basin College","3,244","$5,283,000","$14,588,312","-$9,305,312","20.3%"
"342.","North Seattle College","6,259","$16,551,649","$25,870,245","-$9,318,596","27.1%"
"343.","Southwestern Oklahoma State U.","5,448","$26,574,521","$35,901,902","-$9,327,381","37.2%"
"344.","Fairmont State U.","3,886","$13,887,124","$23,335,340","-$9,448,216","20.9%"
"345.","Cameron U.","4,524","$19,014,578","$28,613,573","-$9,598,995","31.4%"
"346.","Minnesota State U. at Mankato","14,712","$86,246,000","$95,911,000","-$9,665,000","37.3%"
"347.","Feather River College","2,151","$916,615","$10,613,326","-$9,696,711","3.6%"
"348.","South Florida State College","2,860","$2,468,835","$12,229,287","-$9,760,452","7.9%"
"349.","Lewis-Clark State College","3,746","$12,800,649","$22,586,395","-$9,785,746","23.8%"
"350.","U. of Central Oklahoma","15,979","$94,536,687","$104,348,184","-$9,811,497","43.7%"
"351.","Grays Harbor College","1,971","$1,985,030","$11,800,196","-$9,815,166","6.9%"
"352.","U. of Massachusetts at Boston","16,415","$186,415,000","$196,252,000","-$9,837,000","40.8%"
"353.","Minnesota State U. at Moorhead","6,005","$30,444,000","$40,370,000","-$9,926,000","31.3%"
"354.","Bloomsburg U. of Pennsylvania","9,260","$80,942,963","$90,889,433","-$9,946,470","41.8%"
"355.","Southeast Missouri State U.","11,486","$57,042,769","$67,191,134","-$10,148,365","31.3%"
"356.","College of Coastal Georgia","3,663","$7,149,233","$17,342,888","-$10,193,655","19.2%"
"357.","State College of Florida, Manatee-Sarasota","10,886","$16,434,256","$26,727,010","-$10,292,754","21.4%"
"358.","Gordon State College (Ga.)","3,986","$6,328,647","$16,702,532","-$10,373,885","16.1%"
"359.","U. of Wisconsin-Stout","9,416","$47,500,338","$57,899,771","-$10,399,433","32.4%"
"360.","Henderson State U.","3,334","$12,204,810","$22,611,384","-$10,406,574","20.0%"
"361.","U. of Maine at Farmington","2,080","$11,373,000","$21,832,000","-$10,459,000","24.9%"
"362.","State U. of New York Maritime College","1,794","$15,545,918","$26,089,713","-$10,543,795","23.1%"
"363.","U. of Arkansas at Monticello","3,700","$11,552,001","$22,198,749","-$10,646,748","22.8%"
"364.","Tarleton State U.","13,019","$68,467,323","$79,225,879","-$10,758,556","30.6%"
"365.","U. of North Carolina at Asheville","3,852","$24,457,326","$35,544,893","-$11,087,567","24.9%"
"366.","U. of North Georgia","18,782","$74,812,403","$85,909,311","-$11,096,908","35.9%"
"367.","New College of Florida","859","$2,443,961","$13,728,845","-$11,284,884","6.1%"
"368.","U. of Arkansas at Pine Bluff","2,612","$7,838,515","$19,231,614","-$11,393,099","10.4%"
"369.","Oklahoma State U. Institute of Technology at Okmulgee","2,496","$7,195,724","$18,658,546","-$11,462,822","19.8%"
"370.","U. of Alaska-Southeast","2,342","$11,369,107","$22,842,169","-$11,473,062","21.6%"
"371.","Clover Park Technical College","3,883","$6,749,149","$18,298,309","-$11,549,160","13.1%"
"372.","U. of Missouri at St. Louis","16,715","$84,905,970","$96,478,600","-$11,572,630","36.4%"
"373.","Jackson College (Mich.)","4,798","$12,878,619","$24,508,022","-$11,629,403","25.3%"
"374.","Florida Gulf Coast U.","14,965","$69,310,902","$80,942,901","-$11,631,999","28.9%"
"375.","Elizabeth City State U.","1,411","$4,343,670","$15,979,849","-$11,636,179","7.4%"
"376.","California State U. Maritime Academy","1,090","$9,921,865","$21,569,462","-$11,647,597","16.5%"
"377.","Frostburg State U.","5,396","$29,560,497","$41,397,305","-$11,836,808","25.1%"
"378.","Northwest Florida State College","5,727","$8,778,267","$20,700,680","-$11,922,413","19.1%"
"379.","Texas Woman's U.","15,473","$79,963,511","$91,978,483","-$12,014,972","32.8%"
"380.","Murray State U.","10,012","$72,053,962","$84,131,636","-$12,077,674","33.8%"
"381.","Lock Haven U.","3,827","$32,676,744","$44,814,232","-$12,137,488","35.6%"
"382.","Columbus State U.","8,453","$46,233,797","$58,412,540","-$12,178,743","38.2%"
"383.","Fort Lewis College","3,332","$15,286,911","$27,484,640","-$12,197,729","19.7%"
"384.","Sonoma State U.","9,481","$51,269,055","$63,484,489","-$12,215,434","25.2%"
"385.","Fitchburg State U.","7,075","$36,762,378","$49,013,180","-$12,250,802","36.4%"
"386.","U. of Hawaii-West Oahu","3,082","$11,627,305","$24,023,385","-$12,396,080","25.6%"
"387.","Renton Technical College","3,763","$8,720,018","$21,225,613","-$12,505,595","18.5%"
"388.","Lake Washington Institute of Technology","3,697","$5,036,308","$17,709,545","-$12,673,237","13.6%"
"389.","New Jersey City U.","8,283","$54,397,558","$67,072,667","-$12,675,109","31.7%"
"390.","Snow College","5,563","$9,370,017","$22,052,357","-$12,682,340","18.2%"
"391.","Skagit Valley College","4,670","$9,763,344","$22,474,663","-$12,711,319","16.0%"
"392.","Bellingham Technical College","2,392","$4,627,100","$17,406,908","-$12,779,808","11.9%"
"393.","Washburn U.","6,691","$31,401,178","$44,385,301","-$12,984,123","31.2%"
"394.","Midwestern State U.","6,080","$34,010,419","$47,163,257","-$13,152,838","30.6%"
"395.","Texas A&M International U.","7,640","$25,062,735","$38,368,954","-$13,306,219","18.5%"
"396.","Savannah State U.","4,429","$13,851,127","$27,176,082","-$13,324,955","13.8%"
"397.","Francis Marion U.","3,786","$21,831,474","$35,203,988","-$13,372,514","34.1%"
"398.","Bowie State U.","6,148","$24,452,479","$38,159,947","-$13,707,468","16.5%"
"399.","Northwest Missouri State U.","6,338","$40,668,578","$54,427,845","-$13,759,267","34.3%"
"400.","U. of Southern Indiana","11,004","$45,818,686","$59,622,543","-$13,803,857","27.5%"
"401.","Tennessee State U.","8,177","$51,182,864","$64,994,533","-$13,811,669","27.9%"
"402.","Kean U.","14,226","$112,558,319","$126,525,199","-$13,966,880","42.9%"
"403.","Adams State U.","3,314","$18,439,626","$32,422,618","-$13,982,992","30.7%"
"404.","U of Arkansas at Fort Smith","6,638","$17,015,967","$31,139,799","-$14,123,832","21.3%"
"405.","Bismarck State College","3,756","$13,447,816","$27,595,093","-$14,147,277","26.9%"
"406.","Indiana U. of Pennsylvania","12,431","$113,971,752","$128,162,348","-$14,190,596","44.4%"
"407.","U. of Akron","20,169","$192,573,526","$206,784,027","-$14,210,501","42.4%"
"408.","Edinboro U. of Pennsylvania","5,574","$43,383,734","$57,623,012","-$14,239,278","35.5%"
"409.","Edmonds Community College","8,100","$27,065,423","$41,343,395","-$14,277,972","24.4%"
"410.","Pasco-Hernando Community College","11,947","$12,289,635","$26,716,971","-$14,427,336","16.2%"
"411.","Mississippi Valley State U.","2,385","$4,955,898","$19,394,447","-$14,438,549","9.1%"
"412.","George Mason U.","35,984","$341,058,838","$355,611,980","-$14,553,142","36.9%"
"413.","U. of South Dakota","10,261","$65,537,765","$80,380,479","-$14,842,714","29.7%"
"414.","Western Oregon U.","5,336","$30,951,454","$45,880,668","-$14,929,214","28.3%"
"415.","Schoolcraft College","10,558","$32,585,159","$47,543,255","-$14,958,096","31.4%"
"416.","Midland College","5,564","$9,839,132","$24,894,815","-$15,055,683","15.6%"
"417.","Winona State U.","7,981","$43,703,000","$58,784,000","-$15,081,000","30.4%"
"418.","U. of Arkansas at Little Rock","11,624","$50,123,157","$65,268,925","-$15,145,768","23.5%"
"419.","Pensacola State College","9,655","$13,762,514","$28,962,881","-$15,200,367","15.9%"
"420.","Alcorn State U.","3,716","$10,049,681","$25,370,374","-$15,320,693","11.3%"
"421.","Morgan State U.","7,747","$50,087,192","$65,480,283","-$15,393,091","19.0%"
"422.","Missouri Southern State U.","6,174","$15,065,409","$30,482,779","-$15,417,370","18.2%"
"423.","Yakima Valley Community College","4,007","$7,763,387","$23,191,378","-$15,427,991","13.1%"
"424.","U. of West Georgia","13,520","$67,102,516","$82,586,708","-$15,484,192","32.0%"
"425.","U. of North Carolina at Wilmington","16,487","$111,043,411","$126,542,417","-$15,499,006","31.9%"
"426.","U. of Tennessee at Chattanooga","11,587","$66,442,613","$82,399,464","-$15,956,851","33.6%"
"427.","Brazosport College","4,245","$8,543,843","$24,524,427","-$15,980,584","18.3%"
"428.","College of Central Florida","7,151","$7,287,309","$23,281,921","-$15,994,612","11.0%"
"429.","South Seattle College","6,716","$12,085,458","$28,179,043","-$16,093,585","14.7%"
"430.","Missouri Western State U.","5,533","$23,764,111","$39,902,515","-$16,138,404","34.4%"
"431.","U. of Maryland-Baltimore County","13,662","$111,635,610","$127,958,772","-$16,323,162","26.1%"
"432.","Austin Peay State U.","10,463","$51,773,623","$68,197,632","-$16,424,009","31.2%"
"433.","Purdue U. Northwest","12,071","$65,172,791","$81,600,331","-$16,427,540","42.8%"
"434.","U. of Montana at Missoula","11,865","$86,149,616","$102,631,472","-$16,481,856","25.2%"
"435.","Governors State U.","5,185","$39,823,090","$56,350,696","-$16,527,606","33.0%"
"436.","U. of North Carolina at Pembroke","6,252","$24,687,973","$41,375,345","-$16,687,372","19.2%"
"437.","Kansas State U.","22,795","$233,580,756","$250,446,628","-$16,865,872","27.3%"
"438.","State U. of New York College of Agriculture and Technology at Cobleskill","2,291","$10,569,831","$27,437,885","-$16,868,054","16.0%"
"439.","Missouri U. of Science and Technology","8,883","$87,512,576","$104,422,996","-$16,910,420","35.2%"
"440.","Albany State U.","6,615","$21,081,397","$38,154,110","-$17,072,713","19.9%"
"441.","Gulf Coast State College","5,379","$5,384,390","$22,559,940","-$17,175,550","11.9%"
"442.","U. of Texas at Tyler","10,402","$47,323,883","$64,529,469","-$17,205,586","29.4%"
"443.","U. of Massachusetts at Dartmouth","8,406","$77,242,000","$94,613,000","-$17,371,000","29.8%"
"444.","California Polytechnic State U. at San Luis Obispo","22,370","$179,222,939","$196,720,284","-$17,497,345","38.5%"
"445.","Wright State U.","15,957","$134,971,118","$152,499,980","-$17,528,862","37.9%"
"446.","Santa Fe College","14,588","$28,507,450","$46,476,139","-$17,968,689","25.6%"
"447.","State U. of New York College of Technology at Canton","3,180","$13,070,365","$31,212,581","-$18,142,216","20.1%"
"448.","Kutztown U. of Pennsylvania","8,329","$64,649,753","$82,891,091","-$18,241,338","37.8%"
"449.","Seattle Central College","6,928","$22,847,102","$41,262,599","-$18,415,497","23.8%"
"450.","Western Connecticut State U.","5,664","$42,859,561","$61,383,911","-$18,524,350","28.2%"
"451.","State U. of New York College of Technology at Delhi","3,511","$12,977,157","$31,737,290","-$18,760,133","19.8%"
"452.","Arkansas State U. at Jonesboro","13,930","$49,430,696","$68,213,233","-$18,782,537","23.6%"
"453.","Shasta College","9,160","$4,361,863","$23,214,202","-$18,852,339","5.3%"
"454.","Rhode Island College","8,171","$45,292,768","$64,513,708","-$19,220,940","26.8%"
"455.","Norfolk State U.","5,303","$25,585,999","$45,291,528","-$19,705,529","14.1%"
"456.","Indiana State U.","13,763","$70,490,000","$90,331,000","-$19,841,000","27.3%"
"457.","Western Carolina U.","11,034","$60,200,292","$80,649,748","-$20,449,456","24.6%"
"458.","Virginia State U.","4,713","$25,210,716","$45,678,399","-$20,467,683","16.3%"
"459.","Morehead State U.","10,580","$37,618,769","$58,111,221","-$20,492,452","22.9%"
"460.","Tallahassee Community College","11,782","$16,161,021","$36,714,144","-$20,553,123","15.9%"
"461.","State U. of New York at Morrisville","3,063","$12,504,856","$33,179,255","-$20,674,399","17.1%"
"462.","Eastern Connecticut State U.","5,282","$33,400,814","$54,104,017","-$20,703,203","24.6%"
"463.","Prairie View A&M U.","9,219","$40,237,882","$61,197,547","-$20,959,665","13.6%"
"464.","Coppin State U.","2,893","$4,999,057","$25,961,526","-$20,962,469","6.0%"
"465.","Northeastern State U.","7,909","$34,815,807","$55,911,837","-$21,096,030","32.2%"
"466.","U. of Texas of the Permian Basin","7,022","$21,531,164","$42,725,281","-$21,194,117","13.7%"
"467.","U. of Nebraska at Kearney","6,644","$29,426,579","$50,826,794","-$21,400,215","25.5%"
"468.","Columbia Basin College","6,708","$7,288,464","$28,721,070","-$21,432,606","10.5%"
"469.","California State U. at San Marcos","15,755","$71,514,530","$93,018,057","-$21,503,527","31.5%"
"470.","Spokane Community College","10,014","$15,813,572","$37,352,099","-$21,538,527","12.3%"
"471.","U. of Arkansas at Fayetteville","27,558","$227,456,739","$249,330,269","-$21,873,530","24.3%"
"472.","U. of Hawaii at Hilo","3,539","$25,966,661","$47,908,417","-$21,941,756","23.8%"
"473.","Middle Georgia State U.","7,341","$21,338,442","$43,428,028","-$22,089,586","19.5%"
"474.","Polk State College","10,659","$12,916,978","$35,026,575","-$22,109,597","15.9%"
"475.","Tyler Junior College","11,649","$20,240,101","$42,543,960","-$22,303,859","20.6%"
"476.","U. of Central Arkansas","11,343","$56,973,390","$79,281,659","-$22,308,269","29.3%"
"477.","U. of Hawaii Maui College","3,302","$5,311,691","$27,806,149","-$22,494,458","11.7%"
"478.","Clark College","10,000","$21,324,126","$44,104,908","-$22,780,782","20.3%"
"479.","Florida SouthWestern State College","15,731","$17,043,259","$39,896,931","-$22,853,672","16.5%"
"480.","Delaware State U.","4,352","$31,171,796","$54,035,847","-$22,864,051","22.8%"
"481.","Weber State U.","27,949","$83,820,133","$106,705,706","-$22,885,573","31.7%"
"482.","St. Cloud State U.","14,975","$62,723,000","$85,656,000","-$22,933,000","31.3%"
"483.","North Carolina A&T State U.","11,877","$64,582,416","$87,623,752","-$23,041,336","22.5%"
"484.","Texas Southern U.","10,237","$71,840,663","$95,102,204","-$23,261,541","30.9%"
"485.","Southern Connecticut State U.","10,202","$85,211,001","$108,512,871","-$23,301,870","35.8%"
"486.","California State U.-Channel Islands","7,455","$30,624,904","$53,952,944","-$23,328,040","17.9%"
"487.","U.S. Merchant Marine Academy","975","$799,090","$24,197,034","-$23,397,944","0.9%"
"488.","U. of Maryland at College Park","40,521","$498,181,450","$521,845,823","-$23,664,373","24.5%"
"489.","U. of Missouri at Columbia","30,844","$335,355,560","$359,260,841","-$23,905,281","13.3%"
"490.","Green River College","8,048","$21,384,780","$45,344,111","-$23,959,331","19.6%"
"491.","U. of Missouri at Kansas City","16,372","$141,574,861","$165,855,586","-$24,280,725","35.2%"
"492.","Oklahoma State U. at Oklahoma City","5,839","$10,567,840","$34,947,454","-$24,379,614","20.3%"
"493.","U. of Tennessee at Martin","6,772","$31,833,786","$56,430,949","-$24,597,163","27.0%"
"494.","Highline College","6,824","$13,258,213","$38,179,280","-$24,921,067","16.5%"
"495.","Seminole State College of Florida","17,550","$24,274,484","$49,299,408","-$25,024,924","18.9%"
"496.","Tennessee Technological U.","10,504","$55,202,968","$80,308,701","-$25,105,733","29.6%"
"497.","Radford U.","9,418","$61,204,746","$86,390,753","-$25,186,007","28.0%"
"498.","Florida Atlantic U.","30,208","$157,295,040","$182,753,350","-$25,458,310","28.3%"
"499.","California State U. at Bakersfield","10,131","$29,148,259","$54,673,589","-$25,525,330","17.2%"
"500.","Alfred State College","3,686","$14,089,318","$39,681,926","-$25,592,608","16.8%"
"501.","U. of Central Missouri","12,333","$74,447,372","$100,160,963","-$25,713,591","35.0%"
"502.","U. of North Florida","16,309","$78,081,190","$104,036,915","-$25,955,725","28.0%"
"503.","Appalachian State U.","18,811","$121,958,398","$147,956,588","-$25,998,190","28.5%"
"504.","U. of Idaho","12,072","$86,340,857","$112,841,481","-$26,500,624","21.0%"
"505.","State U. of New York College at Purchase","4,167","$29,813,756","$56,493,887","-$26,680,131","22.2%"
"506.","State U. of New York College at Cortland","6,913","$40,611,266","$67,650,749","-$27,039,483","25.3%"
"507.","State U. of New York College at Geneseo","5,652","$33,339,049","$60,592,945","-$27,253,896","24.9%"
"508.","San Jose State U.","35,835","$191,312,494","$218,855,675","-$27,543,181","34.7%"
"509.","Skyline College","9,235","$6,929,532","$34,533,431","-$27,603,899","7.7%"
"510.","Vincennes U.","18,914","$28,107,839","$55,767,905","-$27,660,066","19.9%"
"511.","State U. of New York Polytechnic Institute","2,912","$13,829,081","$41,722,789","-$27,893,708","4.6%"
"512.","State U. of New York College of Environmental Science and Forestry","2,213","$10,461,173","$38,619,256","-$28,158,083","11.8%"
"513.","Truman State U.","6,272","$27,001,481","$55,269,391","-$28,267,910","21.8%"
"514.","State U. of New York College at Old Westbury","4,910","$20,734,768","$49,147,850","-$28,413,082","21.9%"
"515.","Fayetteville State U.","6,226","$17,918,098","$46,477,625","-$28,559,527","15.2%"
"516.","California State U.-Stanislaus","10,327","$40,708,527","$69,446,383","-$28,737,856","23.4%"
"517.","U. of Memphis","21,521","$136,410,695","$165,271,432","-$28,860,737","30.5%"
"518.","Humboldt State U.","8,525","$34,828,949","$63,726,772","-$28,897,823","20.1%"
"519.","U. of Wisconsin at Oshkosh","13,933","$51,706,033","$80,684,858","-$28,978,825","29.7%"
"520.","U. of Southern Mississippi","14,478","$91,255,328","$120,594,943","-$29,339,615","25.6%"
"521.","Jackson State U.","8,558","$47,036,551","$76,380,677","-$29,344,126","23.4%"
"522.","Marshall U.","13,246","$82,096,646","$112,017,982","-$29,921,336","28.1%"
"523.","U. of Nebraska at Omaha","15,731","$85,265,986","$115,464,688","-$30,198,702","31.4%"
"524.","Winston-Salem State U.","5,098","$21,708,028","$51,930,055","-$30,222,027","14.8%"
"525.","U. of Maryland-Eastern Shore","3,490","$15,637,811","$46,150,679","-$30,512,868","13.5%"
"526.","State U. of New York Empire State College","10,977","$42,436,979","$73,234,252","-$30,797,273","34.2%"
"527.","California State U.-Monterey Bay","7,584","$35,709,492","$66,734,434","-$31,024,942","21.9%"
"528.","Rowan U.","18,484","$182,851,278","$214,093,828","-$31,242,550","32.0%"
"529.","Central Washington U.","12,901","$69,667,412","$101,586,603","-$31,919,191","23.4%"
"530.","State U. of New York College at Oneonta","6,358","$31,701,308","$63,896,719","-$32,195,411","21.6%"
"531.","Western Washington U.","15,915","$109,589,863","$141,883,663","-$32,293,800","32.7%"
"532.","Central Connecticut State U.","11,880","$84,179,100","$116,642,045","-$32,462,945","34.0%"
"533.","Eastern Florida State College","15,769","$20,479,923","$53,875,723","-$33,395,800","16.7%"
"534.","Georgia Gwinnett College","12,287","$34,891,112","$68,329,153","-$33,438,041","23.1%"
"535.","North Carolina Central U.","8,097","$46,955,074","$80,572,478","-$33,617,404","22.2%"
"536.","West Los Angeles College","10,477","$6,715,034","$40,392,272","-$33,677,238","8.2%"
"537.","Eastern Kentucky U.","16,612","$94,942,980","$128,862,583","-$33,919,603","29.8%"
"538.","Daytona State College","13,970","$19,970,414","$54,294,333","-$34,323,919","14.5%"
"539.","Delaware Technical and Community College, Terry Campus","14,195","$49,984,875","$84,856,209","-$34,871,334","28.6%"
"540.","U. of Texas at El Paso","25,078","$112,546,663","$147,502,953","-$34,956,290","22.9%"
"541.","California State U.-Dominguez Hills","16,219","$47,263,163","$82,628,902","-$35,365,739","22.6%"
"542.","Wayne State U.","27,064","$278,606,000","$314,100,000","-$35,494,000","30.4%"
"543.","Colorado Mountain College","5,934","$8,679,782","$44,696,528","-$36,016,746","10.8%"
"544.","U. of Northern Iowa","11,861","$66,908,025","$103,108,086","-$36,200,061","22.1%"
"545.","U. of California at Riverside","23,279","$294,890,000","$331,310,868","-$36,420,868","31.1%"
"546.","State U. of New York at Fredonia","4,630","$24,630,449","$61,092,792","-$36,462,343","21.3%"
"547.","Valencia College","44,834","$69,701,813","$106,941,634","-$37,239,821","25.3%"
"548.","State U. of New York College at Plattsburgh","5,719","$29,256,956","$66,868,159","-$37,611,203","21.4%"
"549.","Fashion Institute of Technology","8,846","$74,933,657","$112,557,974","-$37,624,317","33.6%"
"550.","U. of North Carolina at Charlotte","29,317","$207,040,145","$244,898,535","-$37,858,390","31.0%"
"551.","Antelope Valley College","14,125","$4,199,714","$42,144,583","-$37,944,869","2.8%"
"552.","Henry Ford College","12,786","$23,478,168","$61,622,489","-$38,144,321","21.1%"
"553.","Modesto Junior College","17,880","$6,368,058","$44,703,561","-$38,335,503","9.7%"
"554.","State U. of New York College at Potsdam","3,587","$16,774,922","$55,228,582","-$38,453,660","16.0%"
"555.","Cypress College","15,673","$8,242,803","$46,928,549","-$38,685,746","5.1%"
"556.","State U. of New York College at Farmingdale","9,574","$48,575,392","$87,439,603","-$38,864,211","30.8%"
"557.","Palm Beach State College","30,052","$39,290,930","$78,419,334","-$39,128,404","21.2%"
"558.","U. of North Texas Health Science Center at Fort Worth","2,285","$30,152,923","$69,318,101","-$39,165,178","11.1%"
"559.","Idaho State U.","12,493","$79,831,468","$119,826,361","-$39,994,893","31.4%"
"560.","Florida State College at Jacksonville","21,092","$37,211,161","$77,582,577","-$40,371,416","20.4%"
"561.","Florida A&M U.","9,913","$42,611,238","$83,541,069","-$40,929,831","15.3%"
"562.","City U. of New York, York College","8,533","$20,149,558","$61,210,373","-$41,060,815","16.9%"
"563.","State U. of New York College at Oswego","8,026","$43,753,393","$84,829,036","-$41,075,643","22.7%"
"564.","Chicago State U.","3,101","$22,265,078","$64,497,943","-$42,232,865","19.8%"
"565.","California State U. at Chico","17,875","$71,221,957","$114,076,334","-$42,854,377","24.0%"
"566.","MiraCosta Community College District","14,617","$13,051,685","$55,935,183","-$42,883,498","8.5%"
"567.","State U. of New York at New Paltz","7,565","$46,434,880","$90,150,131","-$43,715,251","25.7%"
"568.","State U. of New York, College at Brockport","8,313","$41,521,002","$85,474,789","-$43,953,787","23.3%"
"569.","Middle Tennessee State U.","21,913","$129,970,164","$173,964,161","-$43,993,997","35.1%"
"570.","California State U. at Fullerton","40,905","$181,897,247","$226,898,077","-$45,000,830","31.4%"
"571.","Solano Community College","9,625","$4,239,012","$49,362,264","-$45,123,252","3.9%"
"572.","Foothill College","15,697","$22,687,525","$67,966,157","-$45,278,632","18.1%"
"573.","U. of Massachusetts at Worcester","1,095","$21,455,272","$67,244,676","-$45,789,404","2.2%"
"574.","Indian River State College","17,598","$17,058,280","$63,944,956","-$46,886,676","13.4%"
"575.","East Tennessee State U.","14,353","$109,378,194","$156,820,628","-$47,442,434","29.7%"
"576.","Rio Hondo College","19,948","$6,404,094","$53,883,232","-$47,479,138","4.6%"
"577.","Ball State U.","22,513","$168,326,991","$215,990,263","-$47,663,272","33.3%"
"578.","California State Polytechnic U. at Pomona","26,053","$104,051,250","$152,815,670","-$48,764,420","26.7%"
"579.","St. Petersburg College","29,548","$41,522,795","$90,712,697","-$49,189,902","19.2%"
"580.","California State U. at San Bernardino","20,692","$66,182,847","$116,311,468","-$50,128,621","20.9%"
"581.","U. of Alaska at Fairbanks","7,664","$44,526,560","$94,734,553","-$50,207,993","11.2%"
"582.","U. of North Carolina at Greensboro","19,922","$106,878,472","$157,785,984","-$50,907,512","23.5%"
"583.","U. of Nebraska at Lincoln","26,079","$222,881,714","$274,920,802","-$52,039,088","19.6%"
"584.","Louisiana State U. Health Sciences Center at Shreveport","899","$19,891,850","$72,590,826","-$52,698,976","5.5%"
"585.","Florida International U.","56,718","$295,346,205","$348,796,673","-$53,450,468","30.5%"
"586.","California State U. at Northridge","41,319","$164,074,934","$218,408,850","-$54,333,916","27.7%"
"587.","California State U. at Sacramento","31,255","$128,272,193","$182,738,306","-$54,466,113","26.7%"
"588.","U. of Alaska at Anchorage","15,733","$76,726,994","$131,276,984","-$54,549,990","26.1%"
"589.","Old Dominion U.","24,375","$144,278,363","$198,928,533","-$54,650,170","28.9%"
"590.","City U. of New York Medgar Evers College","6,652","$12,560,437","$67,402,533","-$54,842,096","8.7%"
"591.","Bakersfield College","23,195","$7,053,646","$62,531,589","-$55,477,943","4.1%"
"592.","Northeastern Illinois U.","8,984","$50,156,777","$106,691,118","-$56,534,341","26.4%"
"593.","City U. of New York Bernard M. Baruch College","18,289","$106,747,230","$163,848,742","-$57,101,512","37.3%"
"594.","Washington State U.","30,614","$286,137,428","$343,525,853","-$57,388,425","24.3%"
